origin,destination,distance,price
Farm House Bandung,Curug Tilu Leuwi Opat,5.36,17
Farm House Bandung,Situ Patenggang,46.31,89
Farm House Bandung,Curug Cimahi,4.87,20
Farm House Bandung,Taman Hutan Rata,3.94,11
Kebun Teh Sukawana,Curug Cisanti,48.73,34
Kebun Teh Sukawana,Curug Tilu Leuwi Opat,1.53,10
Kebun Teh Sukawana,Kawah Putih,47.65,87
Curug Tilu Leuwi Opat,Tangkuban Perahu,4.12,23
Curug Tilu Leuwi Opat,Curug Cimahi,1.12,21
Curug Tilu Leuwi Opat,Taman Hutan Rata,9.17,21
Curug Tilu Leuwi Opat,Curug Cisanti,47.25,98
Tangkuban Perahu,Kawah Putih,50.30,122
Tangkuban Perahu,Situ Patenggang,52.93,130
Tangkuban Perahu,Farm House Bandung,8.16,54
Tangkuban Perahu,Curug Tilu Leuwi Opat,4.12,34
Kawah Putih,Kebun Teh Sukawana,47.65,89
Kawah Putih,Curug Tilu Leuwi Opat,46.22,91
Kawah Putih,Tangkuban Perahu,50.30,100
Kawah Putih,Situ Patenggang,5.27,31
Situ Patenggang,Farm House Bandung,46.31,110
Situ Patenggang,Taman Hutan Rata,46.12,85
Situ Patenggang,Tangkuban Perahu,52.93,121
Curug Cimahi,Kebun Teh Sukawana,2.58,15
Curug Cimahi,Kawah Putih,45.10,89
Curug Cimahi,Curug Cisanti,46.41,91
Taman Hutan Rata,Tangkuban Perahu,11.25,31
Taman Hutan Rata,Kawah Putih,42.71,83
Taman Hutan Rata,Kebun Teh Sukawana,10.35,23
Curug Cisanti,Farm House Bandung,42.20,88
Curug Cisanti,Kebun Teh Sukawana,48.73,90
Curug Cisanti,Tangkuban Perahu,50.32,110
Curug Cisanti,Curug Cimahi,46.41,99
Curug Cisanti,Taman Hutan Rata,39.28,61
