origin,destination,distance,price
Tanah Lot,Taman Ayun,18.2,33
Tanah Lot,Bali Zoo Park,27.1,25
Tanah Lot,Uluwatu,3.4,16
Uluwatu,Tanah Lot,3.4,15
Uluwatu,Bali Zoo Park,43.9,40
Ulun Danu Beratan,Kebun Raya Eka Karya,3.4,18
Ulun Danu Beratan,Penelokan Batur,59.9,53
Ulun Danu Beratan,Tirta Empul,59.3,58
Ulun Danu Beratan,Goa Gajah,45.4,42
Kebun Raya Eka Karya,Ulun Danu Beratan,3.4,7
Kebun Raya Eka Karya,Goa Gajah,45.1,43
Kebun Raya Eka Karya,Taman Ayun,34.7,38
Penelokan Batur,Ulun Danu Beratan,59.9,61
Penelokan Batur,Tirta Empul,17.1,35
Tirta Empul,Penelokan Batur,17.1,20
Tirta Empul,Ulun Danu Beratan,59.3,67
Tirta Empul,Goa Gajah,14.0,24
Taman Ayun,Kebun Raya Eka Karya,34.7,32
Taman Ayun,Tanah Lot,18.2,26
Taman Ayun,Goa Gajah,18.0,28
Taman Ayun,Bali Zoo Park,15.0,24
Bali Safari Park,Goa Gajah,13.0,25
Bali Safari Park,Bali Zoo Park,14.0,26
Goa Gajah,Ulun Danu Beratan,45.5,59
Goa Gajah,Kebun Raya Eka Karya,45.1,45
Goa Gajah,Tirta Empul,14.0,20
Goa Gajah,Bali Safari Park,13.0,18
Goa Gajah,Bali Zoo Park,11.0,12
Bali Zoo Park,Tanah Lot,27.1,30
Bali Zoo Park,Uluwatu,43.9,50
Bali Zoo Park,Taman Ayun,15.0,9
Bali Zoo Park,Bali Safari Park,14.0,16
Bali Zoo Park,Goa Gajah,11.0,21
